,property-location,h-beds,h-baths,info-row price
0,"  Argwings Kodhek Road, Kilimani, Dagoretti North", 3, 3,"KES 90,000 per month"
1,"  Kiambere Rd, Upperhill, Nairobi , Upper Hill, Langata", 3, 2,"KES 360,000 per month"
2,"  Riara Road, Dagoretti North", 2, 2,"KES 105,000 per month"
3,"  Parklands, Westlands", 2, 3,"KES 120,000 per month"
4,"  Kilimani, Dagoretti North", 3, 6,"KES 100,000 per month"
5,"  Kiambu Rd , Kiambu Road", 5, 3,"KES 85,000 per month"
6,"  Lavington, Dagoretti North", 3, 1,"KES 160,000 per month"
7,"  Loresho, Westlands", 2, 3,"KES 85,000 per month"
8,"  Upper Hill, Langata", 2, 3,"KES 135,000 per month"
9,"  Rhino Park, Karen, Langata", 3, 2,"KES 50,000 per month"
10,"  Brookside, Westlands Area, Westlands", 2, 2,"KES 150,000 per month"
11,"  Brookeside Estate , Brookside, Westlands", 3, 5,"KES 160,000 per month"
12,"  Westlands. Off Rhapta Road, Rhapta Road, Westlands", 3, 1,"KES 87,500 per month"
13,"  Parklands Near Premier Academy, Parklands, Westlands", 4, 3,"KES 75,000 per month"
14,"  Royal Family Apartments , Kahawa, Roysambu", 4, 3,"KES 56,000 per month"
15,"  2Nd Parklands, Parklands, Westlands", 2, 3,"KES 105,000 per month"
16,"  Dennis Pritt , Kilimani, Dagoretti North", 5, 2,"KES 200,000 per month"
17,"  General Mathenge, Westlands", 1, 3,"KES 500,000 per month"
18,"  Forest Road Near Premier Academy, Westlands Area, Westlands", 3, 2,"KES 80,000 per month"
19,"  Kileleshwa Near The Bypass, Kileleshwa, Dagoretti North", 2, 3,"KES 90,000 per month"
20,"  Kitisuru Road, Kitisuru, Westlands", 2, 3,"KES 280,000 per month"
21,"  Brookside, Westlands", 4, 2,"KES 120,000 per month"
22,"  Lavington, Dagoretti North", 2, 4,"KES 155,000 per month"
23,"  Parklands, Westlands", 3, 2,"KES 70,000 per month"
24,"  Kilimani, Dagoretti North", 2, 2,"KES 150,000 per month"
25,"  Riverside, Westlands", 3, 2,"KES 80,000 per month"
26,"  Kilimani, Dagoretti North", 2, 3,"KES 80,000 per month"
27,"  Kilimani, Dagoretti North", 3, 4,"KES 200,000 per month"
28,"  Brookeside Drive, Brookside, Westlands", 3, 5,"KES 180,000 per month"
29,"  Kileleshwa, Dagoretti North", 2, 1,"KES 84,000 per month"
30,"  Keiyo Road, Parklands, Westlands", 3, 2,"KES 170,000 per month"
31,"  Kirichwa Road, Kilimani, Dagoretti North", 2, 3,"KES 150,000 per month"
32,"  Ndumbuini-Fortsmith Rd, Uthiru/Ruthimitu, Dagoretti South", 2, 2,"KES 28,000 per month"
33,"  Chaka Road, Kilimani, Dagoretti North", 4, 4,"KES 220,000 per month"
34,"  Murishu Lane, Karen, Langata", 2, 3,"KES 180,000 per month"
35,"  Kindaruma Road, Kilimani, Dagoretti North", 3, 4,"KES 180,000 per month"
36,"  Lower Kabete, Westlands", 1, 3,"KES 200,000 per month"
37,"  Taarifa Road Off Ojijo Road, Parklands, Westlands", 3, 3,"KES 140,000 per month"
38,"  Rhapta Rd, Westlands Area, Westlands", 2, 2,"KES 90,000 per month"
39,"  Suguta Road, Kileleshwa, Dagoretti North", 4, 3,"KES 130,000 per month"
40,"  Runda, Westlands", 4, 2,"KES 180,000 per month"
41,"  Kileleshwa, Dagoretti North", 1, 3,"KES 125,000 per month"
42,"  Chiromo Road, Parklands, Westlands", 3, 2,"KES 236,797 per month"
43,"  Taarifa Road Off Ojijo Road, Parklands, Westlands", 2, 2,"KES 130,000 per month"
44,"  Parklands, Westlands", 3, 1,"KES 125,000 per month"
45,"  Korosho Road, Valley Arcade, Dagoretti North", 3, 3,"KES 65,000 per month"
46,"  Muthaiga, Muthaiga Area, Muthaiga", 5, 5,"KES 120,000 per month"
47,"  Mocah Apartments Directly Opposite Quickmat Supermarket, Kiambu Road", 3, 1,"KES 100,000 per month"
48,"  Rhapta Road, Westlands", 3, 2,"KES 260,000 per month"
49,"  Karen, Langata", 3, 4,"KES 180,000 per month"
50,"  General Mathenge, Westlands", 3, 3,"KES 260,000 per month"
51,"  Rhapta Road, Westlands", 3, 2,"KES 165,000 per month"
52,"  Kilimani, Dagoretti North", 3, 2,"KES 87,000 per month"
53,"  Kikambala Road, Kileleshwa, Dagoretti North", 3, 4,"KES 110,000 per month"
54,"  Along Hatheru Road, Lavington, Dagoretti North", 3, 2,"KES 230,000 per month"
55,"  Gatundu Road, Kileleshwa, Dagoretti North", 3, 2,"KES 140,000 per month"
56,"  Kileleshwa, Dagoretti North", 1, 3,"KES 130,000 per month"
57,"  Parklands, Westlands", 2, 4,"KES 90,000 per month"
58,"  Keiyo Road, Parklands, Westlands", 5, 2,"KES 133,000 per month"
59,"  Parklands, Westlands", 2, 3,"KES 160,000 per month"
60,"  Lavington, Dagoretti North", 3, 2,"KES 200,000 per month"
61,  Mombasa Road, 2, 2,"KES 41,000 per month"
62,"  Muthithi Road, Parklands, Westlands", 2, 2,"KES 163,000 per month"
63,"  Taarifa Road Off Ojijo Road , Parklands, Westlands", 1, 4,"KES 205,000 per month"
64,"  Kilimani, Dagoretti North", 3, 3,"KES 81,280 per month"
65,"  Woodvale Grove, Parklands, Westlands", 4, 2,"KES 48,000 per month"
66,"  Ngara, Starehe", 4, 3,"KES 80,000 per month"
67,"  Parklands, Westlands", 1, 1,"KES 145,000 per month"
68,"  Kindaruma Road, Kilimani, Dagoretti North", 2, 4,"KES 100,000 per month"
69,"  Junction Mall , Riara Road, Dagoretti North", 3, 4,"KES 35,000 per month"
70,"  Kilimani, Dagoretti North", 2, 4,"KES 140,000 per month"
71,"  3Rd Parklands , Parklands, Westlands", 3, 7,"KES 113,580 per month"
72,"  Karen, Langata", 3, 4,"KES 225,000 per month"
73,"  Parklands, Westlands", 3, 5,"KES 250,000 per month"
74,"  Parklands Road , Westlands Area, Westlands", 5, 3,"KES 250,000 per month"
75,"  Karen, Langata", 3, 3,"KES 150,000 per month"
76,"  Lavington, Dagoretti North", 4, 4,"KES 70,000 per month"
77,"  Hatheru Road Lavington , Lavington, Dagoretti North", 4, 1,"KES 70,000 per month"
78,"  Kilimani, Dagoretti North", 2, 5,"KES 200,000 per month"
79,"  Safari Park, Thika Road, Thika Road", 3, 4,"KES 45,000 per month"
80,"  Marist Lane, Karen, Langata", 2, 3,"KES 80,000 per month"
81,  Mombasa Road, 4, 2,"KES 155,280 per month"
82,"  Kilimani, Dagoretti North", 1, 4,"KES 100,000 per month"
83,"  1St Parklands Avenue , Parklands, Westlands", 3, 3,"KES 80,000 per month"
84,"  Parklands Road, Westlands Area, Westlands", 2, 5,"KES 600,000 per month"
85,"  14 Riverside Drive, Riverside, Westlands", 3, 3,"KES 280,000 per month"
86,"  Lavington, Dagoretti North", 10, 1,"KES 200,000 per month"
87,"  Kileleshwa, Dagoretti North", 2, 4,"KES 90,000 per month"
88,"  Langata S Road Karen , Karen, Langata", 2, 5,"KES 230,000 per month"
89,"  Silanga Rd, Karen, Langata", 3, 4,"KES 140,000 per month"
90,"  Rhapta Road, Westlands", 3, 3,"KES 100,000 per month"
91,"  Riverside, Westlands", 4, 3,"KES 85,000 per month"
92,"  Off Ole Kejuado Road, Kileleshwa, Dagoretti North", 2, 3,"KES 150,000 per month"
93,"  Thigiri Ridge Road, Muthaiga Area, Muthaiga", 3, 4,"KES 250,000 per month"
94,"  Forest Edge Road , Karen, Langata", 1, 4,"KES 180,000 per month"
95,"  Riverside, Westlands", 3, 3,"KES 130,000 per month"
96,"  New Kitisuru, Kitisuru, Westlands", 3, 4,"KES 55,000 per month"
97,"  Rhapta Road, Westlands Area, Westlands", 5, 4,"KES 115,000 per month"
98,"  Dunga Road, Bandari Road, Industrial Area, Embakasi North", 6, 5,"KES 250,000 per month"
99,"  Kileleshwa, Dagoretti North", 4, 3,"KES 85,000 per month"
100,"  Karen, Langata", 5, 5,"KES 100,000 per month"
101,"  Karen Langata Road , Karen, Langata", 4, 3,"KES 40,000 per month"
102,"  Karen Dagoretti Road, Karen, Langata", 3, 2,"KES 80,000 per month"
103,"  Riara Road, Lavington, Dagoretti North", 3, 3,"KES 150,000 per month"
104,"  Gen. Mathege, General Mathenge, Westlands", 4, 2,"KES 120,000 per month"
105,"  Githunguri Road, Kileleshwa, Dagoretti North", 1, 2,"KES 100,000 per month"
106,"  Kitisuru, Westlands", 3, 3,"KES 200,000 per month"
107,"  General Mathenge, Westlands", 4, 4,"KES 220,000 per month"
