location,bedrooms,bathrooms,rent
"Kilimani, Dagoretti North",3,3,90000
"Upper Hill, Langata",3,2,360000
"Road, Dagoretti North",2,2,105000
" Parklands, Westlands",2,3,120000
"Kilimani, Dagoretti North",3,6,100000
", Kiambu Road",5,3,85000
"Lavington, Dagoretti North",3,1,160000
" Loresho, Westlands",2,3,85000
"Upper Hill, Langata",2,3,135000
"Park, Karen, Langata",3,2,50000
"Westlands Area, Westlands",2,2,150000
", Brookside, Westlands",3,5,160000
"Rhapta Road, Westlands",3,1,87500
"Academy, Parklands, Westlands",4,3,75000
", Kahawa, Roysambu",4,3,56000
"Parklands, Parklands, Westlands",2,3,105000
"Kilimani, Dagoretti North",5,2,200000
"General Mathenge, Westlands",1,3,500000
"Westlands Area, Westlands",3,2,80000
"Kileleshwa, Dagoretti North",2,3,90000
"Road, Kitisuru, Westlands",2,3,280000
" Brookside, Westlands",4,2,120000
"Lavington, Dagoretti North",2,4,155000
" Parklands, Westlands",3,2,70000
"Kilimani, Dagoretti North",2,2,150000
" Riverside, Westlands",3,2,80000
"Kilimani, Dagoretti North",2,3,80000
"Kilimani, Dagoretti North",3,4,200000
"Drive, Brookside, Westlands",3,5,180000
"Kileleshwa, Dagoretti North",2,1,84000
"Road, Parklands, Westlands",3,2,170000
"Kilimani, Dagoretti North",2,3,150000
"Uthiru/Ruthimitu, Dagoretti South",2,2,28000
"Kilimani, Dagoretti North",4,4,220000
"Lane, Karen, Langata",2,3,180000
"Kilimani, Dagoretti North",3,4,180000
"Lower Kabete, Westlands",1,3,200000
"Road, Parklands, Westlands",3,3,140000
"Westlands Area, Westlands",2,2,90000
"Kileleshwa, Dagoretti North",4,3,130000
" Runda, Westlands",4,2,180000
"Kileleshwa, Dagoretti North",1,3,125000
"Road, Parklands, Westlands",3,2,236797
"Road, Parklands, Westlands",2,2,130000
" Parklands, Westlands",3,1,125000
"Arcade, Dagoretti North",3,3,65000
"Muthaiga Area, Muthaiga",5,5,120000
"Supermarket, Kiambu Road",3,1,100000
"Rhapta Road, Westlands",3,2,260000
" Karen, Langata",3,4,180000
"General Mathenge, Westlands",3,3,260000
"Rhapta Road, Westlands",3,2,165000
"Kilimani, Dagoretti North",3,2,87000
"Kileleshwa, Dagoretti North",3,4,110000
"Lavington, Dagoretti North",3,2,230000
"Kileleshwa, Dagoretti North",3,2,140000
"Kileleshwa, Dagoretti North",1,3,130000
" Parklands, Westlands",2,4,90000
"Road, Parklands, Westlands",5,2,133000
" Parklands, Westlands",2,3,160000
